hook_id,module,symbol,call_sites,trigger_dates,trigger_codes,affected_fields,behavior,semantic_type,disposition,reason,evidence,affects_selection,affects_state,affects_order,affects_fill,affects_nav,target_owner,handoff_requirement,disable_requirement,delete_requirement,acceptance_test,status,entry_count,year_tags,runtime_callsite_count,secondary_reference_count,unused_runtime,wave,direct_effect_scope,downstream_risk,empty_config,definition_count,forwarder_count,consumer_count,external_evidence_ref,external_evidence_status
execution.order_amount_anomalies,rebuild_from_archive.compat.execution,ORDER_AMOUNT_ANOMALIES,"rebuild_from_archive/engine\core.py:1147:                override = self.compat.get_order_amount_override(day_key, norm_time, security); rebuild_from_archive/project_compat.py:98:    def get_order_amount_override(self, date_key, time_key, security):",2020-02-10; 2020-03-02; 2020-03-04; 2020-03-09; 2020-03-10; 2020-03-11; 2020-03-12; 2020-03-16; 2020-03-18; 2020-03-27; 2020-03-30; 2020-04-02; 2020-04-13; 2020-04-14; 2020-04-21; 2020-04-24; 2020-04-27; 2020-04-30; 2020-05-18; 2020-06-15; 2020-06-30; 2020-07-02; 2020-07-06; 2020-07-14; 2020-08-20,000592.XSHE; 000700.XSHE; 000800.XSHE; 000859.XSHE; 000987.XSHE; 002022.XSHE; 002063.XSHE; 002075.XSHE; 002221.XSHE; 002365.XSHE; 002444.XSHE; 002596.XSHE; 002612.XSHE; 002661.XSHE; 600027.XSHG; 600086.XSHG; 600095.XSHG; 600126.XSHG; 600241.XSHG; 600400.XSHG; 600654.XSHG; 600856.XSHG; 600966.XSHG; 601975.XSHG; 603912.XSHG,order_amount,Force order quantities for specific pre-open or open events on the mother replay path.,jq_platform_behavior,archive_jq_only,"These are historical mother-path answers, not reusable sizing logic.",engine/core.py applies get_order_amount_override inside _apply_jq_order_amount_anomaly before creating orders.,False,False,True,True,True,jq_archive,Keep only with the archived mother/JQ parity profile.,Can be disabled in local-native mode; expect trade-size and NAV drift but not upstream candidate changes.,Delete when the project stops preserving mother-path quantity parity.,tests/test_compat_entrypoints.py::test_order_amount_sequence_config_and_fill_override,archive_candidate,26,2020,2,4,False,L1B,size,position_path,False,1,0,1,,
execution.fill_amount_anomalies,rebuild_from_archive.compat.execution,FILL_AMOUNT_ANOMALIES,"rebuild_from_archive/engine\core.py:1174:                override = self.compat.get_fill_amount_override(day_key, norm_time, security); rebuild_from_archive/project_compat.py:101:    def get_fill_amount_override(self, date_key, time_key, security):",2020-04-02; 2020-04-16,002041.XSHE; 600086.XSHG,fill_amount,Force fill share counts for specific orders when replaying archived fills.,jq_platform_behavior,archive_jq_only,"This is fill-answer replay, not a generic exchange or broker rule.",engine/core.py applies get_fill_amount_override inside _apply_jq_fill_amount_anomaly during matching.,False,False,False,True,True,jq_archive,Archive with other JQ-only fill answer hooks.,Can be disabled with only fill and NAV consequences once parity mode is not required.,Delete after archived fill-size parity support is retired.,tests/test_compat_entrypoints.py::test_order_amount_sequence_config_and_fill_override,archive_candidate,2,2020,2,4,False,L1B,size,position_path,False,1,0,1,,
call_auction.empty_anomalies,rebuild_from_archive.compat.call_auction,CALL_AUCTION_EMPTY_ANOMALIES,"rebuild_from_archive/engine\data_api.py:759:            df = self.compat.apply_call_auction_overrides(df); rebuild_from_archive/project_compat.py:149:    def apply_call_auction_overrides(self, frame):",2020-03-04; 2021-08-18; 2021-09-01,002897.XSHE; 600804.XSHG; 600982.XSHG; 603908.XSHG,call_auction_rows,Remove specific call-auction rows entirely before candidate logic consumes them.,data_correction,investigate,The current evidence shows row suppression but does not yet prove whether the source is wrong or JoinQuant-only.,project_compat.apply_call_auction_overrides removes rows keyed by CALL_AUCTION_EMPTY_ANOMALIES and engine/data_api.py calls it in get_call_auction.,True,True,False,False,False,investigation,Need source-vs-reference row-level evidence before assigning to HData or JQ archive.,Disable only after call-auction candidate behavior is accepted without these row deletions.,Delete once the source owner is assigned and either repaired upstream or archived as JQ-only.,tests/test_compat_entrypoints.py::test_call_auction_overrides_apply,investigation_pending,4,2020; 2021,2,6,False,,data_shape,strategy_path,False,1,0,1,,
call_auction.allow_only,rebuild_from_archive.compat.call_auction,CALL_AUCTION_ALLOW_ONLY,"rebuild_from_archive/engine\data_api.py:759:            df = self.compat.apply_call_auction_overrides(df); rebuild_from_archive/project_compat.py:149:    def apply_call_auction_overrides(self, frame):",2021-08-18; 2021-12-02,000833.XSHE,call_auction_rows,Restrict a day's auction dataset to an allow-list of codes before ranking.,data_correction,investigate,The allow-list may reflect source contamination or a JQ extract quirk; ownership is not yet proven.,project_compat.apply_call_auction_overrides enforces CALL_AUCTION_ALLOW_ONLY before candidate ranking reads the frame.,True,True,False,False,False,investigation,Need per-day upstream data evidence to decide whether this belongs in HData or the JQ archive bucket.,Disable only after accepting candidate drift for the affected dates in non-parity mode.,Delete after root-cause assignment and either source repair or archival.,tests/test_compat_entrypoints.py::test_call_auction_overrides_apply,investigation_pending,2,2021,2,6,False,,data_shape,strategy_path,False,1,0,1,,
call_auction.depth_overrides,rebuild_from_archive.compat.call_auction,CALL_AUCTION_DEPTH_OVERRIDES,"rebuild_from_archive/engine\data_api.py:759:            df = self.compat.apply_call_auction_overrides(df); rebuild_from_archive/project_compat.py:149:    def apply_call_auction_overrides(self, frame):",2020-09-03; 2021-06-04,000038.XSHE; 002635.XSHE,a1_v,Patch specific call-auction depth fields before candidate ranking.,data_correction,investigate,"These look like source-field corrections, but current evidence is not strong enough to assign them permanently to HData.","project_compat.apply_call_auction_overrides patches the requested columns, and tests assert the 2020-09-03 override.",True,True,False,False,False,investigation,Need raw call-auction depth evidence and a source owner before handoff.,Disable only after proving candidate ranking is acceptable without the patched depth values.,Delete after source ownership is resolved and the patch is either repaired upstream or archived.,tests/test_compat_entrypoints.py::test_call_auction_overrides_apply,investigation_pending,2,2020; 2021,2,6,False,,data_shape,strategy_path,False,1,0,1,,
security_metadata.start_date_overrides,rebuild_from_archive.compat.security_metadata,SECURITY_START_DATE_OVERRIDES,"rebuild_from_archive/engine\data_api.py:992:                    start_date = self.compat.get_security_start_date_override(code); rebuild_from_archive/project_compat.py:118:    def get_security_start_date_override(self, security):",,605123.XSHG; 605255.XSHG; 605369.XSHG; 605399.XSHG,start_date,Replace listing dates for specific securities before IPO-age filters run.,data_correction,investigate,"Listing-date truth belongs to the data layer, but the discrepancy may reflect JoinQuant listing-date conventions rather than HData errors. Pending independent verification.",engine/data_api.py applies get_security_start_date_override while building _stock_basic for get_all_securities().,True,False,False,False,False,hdata_candidate,HData needs a corrected listing-date source or overlay for these securities.,Disable only after stock_basic or its replacement publishes correct PIT listing dates.,Delete after HData ships corrected listing dates and all IPO-age filters read them directly.,tools/hook_migration_acceptance.py targeted 2020 IPO override checks,investigation_pending,4,,2,4,False,,data_shape,strategy_path,False,1,0,1,,
security_metadata.non_st_name_windows,rebuild_from_archive.compat.security_metadata,NON_ST_NAME_WINDOWS,"rebuild_from_archive/engine\data_api.py:107:            return self.compat.apply_security_name_overrides(self, out, date); rebuild_from_archive/project_compat.py:310:    def apply_security_name_overrides(self, api, out, date):",1900-01-01; 2020-02-28; 2020-05-06; 2020-07-15; 2020-08-25; 2020-08-27; 2020-09-09; 2020-10-23; 2020-11-23; 2020-11-30; 2020-12-14; 2020-12-18; 2021-01-14; 2021-04-21; 2021-09-10; 2021-12-10; 2022-02-07; 2022-02-08; 2022-02-10; 2022-02-15; 2022-03-02; 2022-03-15; 2022-04-01; 2022-04-19; 2022-07-05; 2023-01-03; 2023-03-22; 2023-04-10; 2023-06-01; 2024-04-22; 2024-06-07; 2024-06-20; 2024-06-27; 2024-07-15; 2024-08-07; 2025-07-22; 2025-07-24; 2026-02-12,000506.XSHE; 000584.XSHE; 000585.XSHE; 000673.XSHE; 000839.XSHE; 000980.XSHE; 002052.XSHE; 002086.XSHE; 002141.XSHE; 002147.XSHE; 002192.XSHE; 002256.XSHE; 002470.XSHE; 002638.XSHE; 002684.XSHE; 600091.XSHG; 600093.XSHG; 600145.XSHG; 600146.XSHG; 600191.XSHG; 600242.XSHG; 600255.XSHG; 600518.XSHG; 600532.XSHG; 600654.XSHG; 600666.XSHG; 600687.XSHG; 600702.XSHG; 600711.XSHG; 600856.XSHG; 601020.XSHG; 603003.XSHG; 603030.XSHG; 603268.XSHG; 603880.XSHG,display_name,Strip future ST or delisting markers from PIT display names inside explicit date windows.,data_correction,investigate,"Historical security-name state is source metadata, but the divergence may stem from JoinQuant name-history conventions vs local data PIT snapshots. Pending independent verification.",project_compat.apply_security_name_overrides applies NON_ST_NAME_WINDOWS after reading daily ST state and before strategy filters consume display_name.,True,False,False,False,False,hdata_candidate,HData needs PIT name history or equivalent metadata to eliminate these date-window strips.,Disable only after display_name is PIT-correct for affected windows.,Delete after PIT name history is available and strategy filters no longer need compat name surgery.,tools/hook_migration_acceptance.py targeted 2021 ST name window check,investigation_pending,35,1900; 2020; 2021; 2022; 2023; 2024; 2025; 2026,2,5,False,,data_shape,strategy_path,False,1,1,0,,
security_metadata.special_display_name_rules,rebuild_from_archive.project_compat,EmotionGateJQCompat.apply_security_name_overrides,"rebuild_from_archive/engine\data_api.py:107:            return self.compat.apply_security_name_overrides(self, out, date); rebuild_from_archive/project_compat.py:310:    def apply_security_name_overrides(self, api, out, date):",2020-05-07; 2022-04-18,001270.XSHE; 600856.XSHG,display_name,"Apply extra security-name compatibility rules beyond the window table, including explicit special-code branches.",unknown,investigate,The special-case branches mix PIT naming concerns with hardcoded stock-specific logic and need decomposition before ownership can be assigned.,project_compat.apply_security_name_overrides contains special handling for 001270.XSHE and 600856.XSHG outside NON_ST_NAME_WINDOWS.,True,False,False,False,False,investigation,Split general PIT name logic from single-stock legacy rules and re-evaluate ownership.,Disable only after each remaining special-case is either absorbed by PIT metadata or explicitly archived as JQ-only.,Delete after the method no longer needs stock-specific name branches.,Inventory scan and manual review of project_compat.apply_security_name_overrides branches,investigation_pending,2,2020; 2022,2,5,False,,data_shape,strategy_path,False,1,1,0,,
security_metadata.adjust_extras_is_st,rebuild_from_archive.project_compat,EmotionGateJQCompat.adjust_extras_is_st,"rebuild_from_archive/engine\data_api.py:1031:                is_st = self.compat.adjust_extras_is_st(self, s, ds_dt, is_st); rebuild_from_archive/project_compat.py:354:    def adjust_extras_is_st(self, api, security, date, is_st):",2020-05-07; 2024-05-01; 2024-06-03,600856.XSHG,is_st; display_name; end_date,Override is_st results using PIT name and end-date heuristics for specific windows and codes.,data_correction,investigate,"ST state and delisting-state truth should come from source metadata, but the divergence may reflect JoinQuant ST classification conventions rather than HData errors. Pending verification.","engine/data_api.py calls compat.adjust_extras_is_st from get_extras('is_st', ...), and project_compat.py embeds date windows and name/end_date heuristics.",True,False,False,False,False,hdata_candidate,HData needs PIT ST status and delisting-state history that match the project's required query dates.,Disable only after get_extras('is_st') reads corrected PIT ST state directly.,Delete after ST state is natively correct and the project no longer patches it post-query.,tools/hook_migration_acceptance.py targeted 2024 ST rule check,investigation_pending,3,2020; 2024,2,4,False,,data_shape,strategy_path,False,1,0,1,,
security_metadata.billboard_row_filters,rebuild_from_archive.compat.security_metadata,BILLBOARD_ROW_FILTERS,"rebuild_from_archive/engine\data_api.py:1073:                df = self.compat.filter_billboard_rows(df); rebuild_from_archive/project_compat.py:369:    def filter_billboard_rows(self, frame):",2020-02-26; 2022-08-25,600146.XSHG; 603721.XSHG,billboard_rows,Drop specific billboard rows before strategy-side candidate logic reads them.,data_correction,investigate,"This looks like data cleanup, but the current evidence does not yet prove whether the underlying billboard source or JoinQuant export is wrong.","engine/data_api.py calls compat.filter_billboard_rows in get_billboard_list, and project_compat.filter_billboard_rows keys off BILLBOARD_ROW_FILTERS.",True,False,False,False,False,investigation,Need row-level upstream billboard evidence before assigning to HData or archive-only replay.,Disable only after validating candidate behavior on affected dates without the row drop.,Delete after root cause is assigned and addressed by the right owner.,tools/run_counterfactual_2024_000506_billboard_filter.py demonstrates nearby workflow but not full retirement criteria.,investigation_pending,2,2020; 2022,2,6,False,,data_shape,strategy_path,False,1,0,1,,
